seal,ref,d_date,lat,lon,v_mask
B22,hg28-B17-10,2010-06-16T20:58:32Z,48.3507995605469,-4.80049991607666,0
B22,hg28-B17-10,2010-06-16T21:08:40Z,48.3459815979004,-4.80249977111816,0
B22,hg28-B17-10,2010-06-16T21:19:44Z,48.3442192077637,-4.80478000640869,0
B22,hg28-B17-10,2010-06-16T21:32:04Z,48.33203125,-4.80806016921997,0
B22,hg28-B17-10,2010-06-16T21:42:36Z,48.3232688903809,-4.814040184021,0
B22,hg28-B17-10,2010-06-16T21:54:20Z,48.3196182250977,-4.82831001281738,0
B22,hg28-B17-10,2010-06-16T22:04:28Z,48.3209114074707,-4.83664989471436,0
B22,hg28-B17-10,2010-06-16T22:14:28Z,48.3238487243652,-4.84521007537842,0
B22,hg28-B17-10,2010-06-16T22:24:28Z,48.3275909423828,-4.85527992248535,0
B22,hg28-B17-10,2010-06-16T22:35:32Z,48.3346481323242,-4.86330986022949,0
B22,hg28-B17-10,2010-06-16T22:45:40Z,48.3394393920898,-4.87116003036499,0
B22,hg28-B17-10,2010-06-16T22:55:56Z,48.3420295715332,-4.87686014175415,0
B22,hg28-B17-10,2010-06-16T23:05:56Z,48.3434181213379,-4.88050985336304,0
B22,hg28-B17-10,2010-06-17T03:39:44Z,48.3683090209961,-4.86186981201172,0
B22,hg28-B17-10,2010-06-17T04:10:32Z,48.372688293457,-4.86224985122681,0
B22,hg28-B17-10,2010-06-17T04:38:48Z,48.3729591369629,-4.86229991912842,0
B22,hg28-B17-10,2010-06-17T05:01:40Z,48.3728103637695,-4.8622899055481,0
B22,hg28-B17-10,2010-06-17T05:22:40Z,48.3728103637695,-4.86269998550415,0
B22,hg28-B17-10,2010-06-17T05:41:28Z,48.3727798461914,-4.86240005493164,0
B22,hg28-B17-10,2010-06-17T06:02:00Z,48.3729209899902,-4.8619499206543,0
B22,hg28-B17-10,2010-06-17T06:12:00Z,48.3716011047363,-4.86311006546021,0
B22,hg28-B17-10,2010-06-17T06:22:32Z,48.3718681335449,-4.86319017410278,0
